County,Reason,Proportion,Names
Mombasa,Too hot,18.1,"Mombasa, 18.1%"
Mombasa,Don't like net,0.3,"Mombasa, 0.3%"
Mombasa,Don't like smell,0.3,"Mombasa, 0.3%"
Mombasa,Unable to hang net,2.7,"Mombasa, 2.7%"
Mombasa,Slept outdoors,0.4,"Mombasa, 0.4%"
Mombasa,User didn't sleep in household,10.1,"Mombasa, 10.1%"
Mombasa,No mosquitoes/malaria,6,"Mombasa, 6%"
Mombasa,Extra net/saving for later,53,"Mombasa, 53%"
Mombasa,Net too small,1.5,"Mombasa, 1.5%"
Mombasa,Net brought bedbugs,0.6,"Mombasa, 0.6%"
Mombasa,Other,7.1,"Mombasa, 7.1%"
Kwale,Too hot,8.6,"Kwale, 8.6%"
Kwale,Don't like net,0,"Kwale, 0%"
Kwale,Don't like smell,0,"Kwale, 0%"
Kwale,Unable to hang net,2.1,"Kwale, 2.1%"
Kwale,Slept outdoors,0.6,"Kwale, 0.6%"
Kwale,User didn't sleep in household,15.8,"Kwale, 15.8%"
Kwale,No mosquitoes/malaria,1.8,"Kwale, 1.8%"
Kwale,Extra net/saving for later,64.5,"Kwale, 64.5%"
Kwale,Net too small,0.5,"Kwale, 0.5%"
Kwale,Net brought bedbugs,3.6,"Kwale, 3.6%"
Kwale,Other,2.4,"Kwale, 2.4%"
Kilifi,Too hot,11.9,"Kilifi, 11.9%"
Kilifi,Don't like net,0.3,"Kilifi, 0.3%"
Kilifi,Don't like smell,0.3,"Kilifi, 0.3%"
Kilifi,Unable to hang net,0,"Kilifi, 0%"
Kilifi,Slept outdoors,0.4,"Kilifi, 0.4%"
Kilifi,User didn't sleep in household,16.2,"Kilifi, 16.2%"
Kilifi,No mosquitoes/malaria,2.1,"Kilifi, 2.1%"
Kilifi,Extra net/saving for later,64.4,"Kilifi, 64.4%"
Kilifi,Net too small,0,"Kilifi, 0%"
Kilifi,Net brought bedbugs,1.4,"Kilifi, 1.4%"
Kilifi,Other,3,"Kilifi, 3%"
Tana River,Too hot,6.7,"Tana River, 6.7%"
Tana River,Don't like net,0.9,"Tana River, 0.9%"
Tana River,Don't like smell,0,"Tana River, 0%"
Tana River,Unable to hang net,0,"Tana River, 0%"
Tana River,Slept outdoors,1.3,"Tana River, 1.3%"
Tana River,User didn't sleep in household,14.1,"Tana River, 14.1%"
Tana River,No mosquitoes/malaria,21.9,"Tana River, 21.9%"
Tana River,Extra net/saving for later,52.5,"Tana River, 52.5%"
Tana River,Net too small,0,"Tana River, 0%"
Tana River,Net brought bedbugs,0,"Tana River, 0%"
Tana River,Other,2.7,"Tana River, 2.7%"
Lamu,Too hot,13.3,"Lamu, 13.3%"
Lamu,Don't like net,0,"Lamu, 0%"
Lamu,Don't like smell,0.4,"Lamu, 0.4%"
Lamu,Unable to hang net,1.3,"Lamu, 1.3%"
Lamu,Slept outdoors,1,"Lamu, 1%"
Lamu,User didn't sleep in household,14.8,"Lamu, 14.8%"
Lamu,No mosquitoes/malaria,3.6,"Lamu, 3.6%"
Lamu,Extra net/saving for later,57.2,"Lamu, 57.2%"
Lamu,Net too small,0.4,"Lamu, 0.4%"
Lamu,Net brought bedbugs,1,"Lamu, 1%"
Lamu,Other,7.1,"Lamu, 7.1%"
Taita Taveta,Too hot,6,"Taita Taveta, 6%"
Taita Taveta,Don't like net,0,"Taita Taveta, 0%"
Taita Taveta,Don't like smell,0,"Taita Taveta, 0%"
Taita Taveta,Unable to hang net,2.1,"Taita Taveta, 2.1%"
Taita Taveta,Slept outdoors,0.3,"Taita Taveta, 0.3%"
Taita Taveta,User didn't sleep in household,28.1,"Taita Taveta, 28.1%"
Taita Taveta,No mosquitoes/malaria,12.4,"Taita Taveta, 12.4%"
Taita Taveta,Extra net/saving for later,47.1,"Taita Taveta, 47.1%"
Taita Taveta,Net too small,0.3,"Taita Taveta, 0.3%"
Taita Taveta,Net brought bedbugs,0,"Taita Taveta, 0%"
Taita Taveta,Other,3.7,"Taita Taveta, 3.7%"
Garissa,Too hot,27.4,"Garissa, 27.4%"
Garissa,Don't like net,0,"Garissa, 0%"
Garissa,Don't like smell,0,"Garissa, 0%"
Garissa,Unable to hang net,0,"Garissa, 0%"
Garissa,Slept outdoors,10.5,"Garissa, 10.5%"
Garissa,User didn't sleep in household,12.1,"Garissa, 12.1%"
Garissa,No mosquitoes/malaria,33,"Garissa, 33%"
Garissa,Extra net/saving for later,13.9,"Garissa, 13.9%"
Garissa,Net too small,0,"Garissa, 0%"
Garissa,Net brought bedbugs,0,"Garissa, 0%"
Garissa,Other,3.1,"Garissa, 3.1%"
Wajir,Too hot,61,"Wajir, 61%"
Wajir,Don't like net,0,"Wajir, 0%"
Wajir,Don't like smell,0,"Wajir, 0%"
Wajir,Unable to hang net,0,"Wajir, 0%"
Wajir,Slept outdoors,0.9,"Wajir, 0.9%"
Wajir,User didn't sleep in household,13.8,"Wajir, 13.8%"
